ID,Age,Sex,Travel,Height,Tech,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,RHeight,HeightRatio,Distance,Direction
1,55,1,100,186,92,58,85,84,37,53,44,48,95,9,93,6,70,84,78,78,9,82,92,82,92,7,67,21,118,68,2,2
2,40,1,,182,,89,88,87,86,50,58,69,70,20,72,11,79,83,79,94,12,89,88,85,80,6,86,86,118,64,2,4
3,34,1,7,196,91,90,81,99,49,14,27,50,98,6,95,7,97,93,82,83,12,50,87,79,84,25,67,10,118,78,1,2
4,53,1,4,184,82,55,66,67,34,50,50,50,71,26,76,26,77,77,64,63,8,80,89,89,80,9,81,68,118,66,2,2
5,10,2,15,148,36,93,92,83,15,49,51,50,99,0,99,0,68,99,13,99,0,87,99,99,92,0,94,8,118,30,2,4
6,35,2,3,165,92,17,63,80,14,50,50,50,92,1,2,0,97,94,13,65,5,79,92,85,92,6,91,24,118,47,3,2
7,34,1,2,189,99,50,64,69,39,50,49,50,49,27,99,99,99,99,1,80,,,,,98,1,98,1,118,71,2,2
8,38,1,30,179,95,50,98,96,50,50,50,50,98,2,99,1,98,51,1,99,1,99,98,98,,,,,118,61,1,2
9,66,2,2,170,13,50,99,98,0,50,50,50,91,0,99,0,99,98,85,80,0,97,99,99,99,1,99,52,118,52,3,4
10,72,2,3,167,2,2,97,93,6,21,82,50,,,,7,24,99,17,98,14,87,90,16,,,,,123.5,43.5,2,4
11,32,1,24,175,93,50,99,60,3,50,49,50,87,1,99,1,97,51,52,98,1,90,98,84,70,39,67,52,123.5,51.5,2,3
12,50,2,2,168,51,79,78,82,72,50,27,50,98,15,85,1,50,97,23,12,13,60,46,72,48,27,49,26,123.5,44.5,2,2
13,45,1,6,172,76,50,80,76,54,47,33,46,95,20,76,17,65,85,40,73,22,60,61,69,72,42,60,54,123.5,48.5,1,3
14,51,1,40,180,91,0,63,47,33,79,46,50,92,12,88,2,90,92,33,15,12,66,79,77,77,27,90,52,123.5,56.5,3,2
15,35,1,10,190,96,50,75,60,64,57,52,46,37,36,58,28,50,73,28,72,7,57,65,88,60,26,66,58,123.5,66.5,2,4
16,53,1,5,175,74,8,96,56,23,51,15,50,90,2,99,0,80,98,50,49,,,,,68,37,72,67,123.5,51.5,2,3
17,49,1,10,193,49,43,58,65,8,50,24,49,11,7,93,3,64,98,10,75,7,86,72,54,50,8,8,51,123.5,69.5,3,3
18,51,2,20,168,91,54,76,,15,50,50,49,56,12,99,0,71,99,30,34,5,52,,49,,,,,123.5,44.5,1,4
19,22,2,10,175,70,26,93,47,12,50,20,50,69,19,99,11,77,98,66,93,21,36,77,91,51,11,64,77,123.5,51.5,2,2
20,33,2,18,188,64,73,81,84,50,63,33,49,85,66,93,31,65,93,59,80,19,50,81,54,54,28,68,63,151,37,3,1
21,25,2,50,161,96,57,81,88,12,50,3,50,59,3,81,,,,37,77,2,61,98,18,97,4,77,9,151,10,2,4
22,32,1,10,186,88,96,95,96,2,50,1,52,77,19,71,21,94,49,60,80,19,79,98,97,97,49,97,35,151,35,2,2
23,34,1,1,183,44,14,62,80,29,50,18,59,71,23,87,5,70,86,25,72,17,63,67,49,64,23,52,48,151,32,2,3
24,10,2,1,140,100,85,79,97,3,47,15,49,97,22,75,0,89,87,37,86,22,70,85,81,52,0,70,52,151,-11,2,4
25,54,1,40,176,76,8,83,83,23,49,53,50,,,,1,86,85,31,21,4,76,90,68,73,17,71,67,129,47,2,3
26,22,1,2,185,14,78,63,98,1,49,20,49,74,3,99,,,,,,4,62,99,52,99,29,98,51,129,56,2,2
27,45,1,20,178,52,13,79,81,62,47,48,47,4,11,27,11,66,25,6,65,48,68,64,13,76,49,71,3,129,49,2,2
28,26,1,10,183,65,20,69,62,46,50,43,49,11,36,13,18,22,79,4,68,27,49,74,49,76,40,52,33,129,54,3,2
29,21,1,15,186,100,23,76,59,5,54,50,49,94,1,86,9,73,89,,,4,52,79,59,,,,,129,57,2,3
30,54,1,10,178,88,73,82,68,50,51,50,50,51,5,50,1,10,0,98,99,1,57,46,46,64,45,44,1,129,49,2,2
31,57,2,8,156,99,85,99,99,0,50,30,50,50,0,99,0,49,99,53,95,1,63,79,53,99,17,54,53,140,16,2,2
32,37,1,10,175,94,44,76,87,21,50,0,50,75,1,99,0,50,98,17,88,1,79,98,50,51,51,80,51,140,35,2,4
33,57,1,20,183,78,53,51,69,24,42,52,52,43,52,35,57,46,62,,,48,22,27,38,39,55,32,27,140,43,2,1
34,39,1,40,179,88,81,84,92,21,49,49,49,83,11,49,0,83,93,80,92,0,83,95,50,,,,,140,39,1,1
35,41,1,25,184,94,15,50,87,46,49,5,53,0,1,97,1,90,98,30,61,5,50,81,5,75,11,95,19,140,44,2,2
36,36,1,5,178,73,61,65,97,34,54,36,51,83,54,65,30,62,96,46,27,23,86,97,64,,,,,140,38,3,2
37,33,2,4,160,55,12,57,99,1,50,0,49,13,14,84,0,49,80,16,1,50,50,50,51,32,18,48,26,140,20,2,4
38,45,2,4,165,78,90,76,97,2,50,7,52,59,17,94,2,96,22,34,70,8,38,57,62,46,24,48,47,151,14,2,3
39,51,2,20,170,72,66,69,69,33,51,25,51,58,22,48,3,72,74,47,56,15,65,61,54,71,30,63,12,151,19,2,4
40,36,2,10,169,62,78,86,98,2,50,18,49, , , ,1,97,98,67,99,1,84,94,92,77,1,93,44,129,40,1,1
41,36,1,3,174,72,11,62,67,11,49,30,50,55,36,77,29,23,50,13,23,47,26,37,18,64,46,23,20,129,45,3,2
42,41,1,20,189,34,77,66,71,38,49,49,50,59,50,48,36,44,84,45,88,23,43,32,53,43,51,64,27,129,60,1,4
43,36,2,4,168,96,50,74,48,20,50,15,49,69,4,82,1,69,88,13,81,13,66,76,0,55,21,70,12,151,17,2,4
